stn,wban,c,year
033020,99999,261,1983
039570,99999,261,1986
034140,99999,261,1981
475870,99999,261,1995
033220,99999,261,1994
012410,99999,261,1990
619670,70701,261,1989
031600,99999,261,1997
033020,99999,261,1992
789250,99999,261,1983
785350,11630,261,1989
011020,99999,261,1992
032450,99999,261,1984
703160,25624,261,1984
030590,99999,261,1988
062600,99999,261,1988
938440,99999,261,1983
477040,99999,261,1983
038170,99999,261,1983
032400,99999,261,1996
789700,99999,261,1985
011020,99999,261,1991
031400,99999,261,1984
031710,99999,261,1999
038170,99999,261,1999
619670,70701,261,1981
033340,99999,261,1985
032570,99999,261,1990
888890,99999,261,1992
040180,16201,261,1989
035580,99999,261,1981
060110,99999,261,1995
702960,26410,261,1988
014150,99999,261,1982
689060,99999,261,1993
033470,99999,261,1994
039670,99999,261,1996
030490,99999,261,1994
911760,22519,260,1981
703160,25624,260,1985
031400,99999,260,1995
711090,99999,260,1997
033540,99999,260,1993
030570,99999,260,1992
030930,99999,260,1985
038400,99999,260,1993
030590,99999,260,1992
911760,22519,260,1988
785350,11630,260,1990
104020,99999,260,1981
040300,99999,260,1984
030910,99999,260,1994
475800,99999,260,1988
060090,99999,260,1988
040050,99999,260,1987
033340,99999,260,1991
711010,99999,260,1997
030065,99999,260,1988
013005,99999,260,1988
566910,99999,260,1988
035340,99999,260,1983
034960,99999,260,1981
030680,99999,260,1982
711070,25342,260,1986
031400,99999,260,1987
913660,40604,260,1991
038270,99999,260,1986
711010,99999,260,1986
479090,99999,260,1998
035340,99999,260,1985
938440,99999,260,1993
914130,40308,260,1994
718980,99999,260,1988
100340,99999,260,1988
035020,99999,260,1982
032220,99999,260,1982
031600,99999,260,1989
703810,25309,260,1987
034140,99999,260,1999
062100,99999,259,1981
913760,40710,259,1995
718980,99999,259,1992
039710,99999,259,1984
040180,16201,259,1990
702960,26410,259,1987
030590,99999,259,1983
012710,99999,259,1989
039520,99999,259,1987
104040,99999,259,1998
703710,25333,259,1981
477430,99999,259,1991
033540,99999,259,1987
703500,25501,259,1987
100220,99999,259,1998
035020,99999,259,1985
477040,99999,259,1988
030910,99999,259,1997
703160,25624,259,1983
689940,99999,259,1989
476780,99999,259,1989
703160,25624,259,1996
859720,99999,259,1985
789700,99999,259,1991
039200,99999,259,1992
477500,99999,259,1992
037400,99999,259,1994
917650,61705,259,1990
038390,99999,259,1986
619670,70701,259,1986
031020,99999,259,1996
703160,25624,259,1991
711090,99999,259,1994
703810,25309,259,1999
039670,99999,259,1991
034820,99999,259,1993
031710,99999,259,1982
085090,99999,259,1983
888890,99999,259,1989
039730,99999,259,1997
619670,70701,259,1994
990170,99999,259,1987
100380,99999,259,1998
062350,99999,259,1981
033880,99999,259,1985
038270,99999,259,1994
032400,99999,259,1986
711010,99999,259,1981
033020,99999,259,1988
038940,99999,258,1986
035340,99999,258,1987
703610,25339,258,1981
031600,99999,258,1993
037150,99999,258,1993
788660,99999,258,1986
031400,99999,258,1997
475870,99999,258,1993
039550,99999,258,1989
060100,99999,258,1999
105130,99999,258,1981
032460,99999,258,1993
990230,99999,258,1983
100350,99999,258,1990
031020,99999,258,1990
063700,99999,258,1998
102150,99999,258,1998
063440,99999,258,1988
711070,25342,258,1990
479180,99999,258,1991
040180,16201,258,1993
060600,99999,258,1988
063800,99999,258,1988
100380,99999,258,1988
476040,99999,258,1992
703980,25308,258,1988
703860,25329,258,1988
577070,99999,258,1982
035340,99999,258,1986
039200,99999,258,1996
062350,99999,258,1999
102000,99999,258,1999
032040,99999,258,1995
718980,99999,258,1991
012100,99999,258,1983
039600,99999,258,1989
105130,99999,258,1998
031140,99999,258,1981
038090,99999,258,1985
703950,25325,258,1997
563850,99999,258,1982
718990,25343,258,1981
785350,11630,258,1981
038170,99999,258,1992
035020,99999,258,1992
032570,99999,258,1982
031600,99999,258,1991
033020,99999,258,1994
014150,99999,258,1998
013110,99999,258,1999
039200,99999,257,1995
030060,99999,257,1992
012410,99999,257,1992
914130,40308,257,1988
476780,99999,257,1988
030060,99999,257,1988
916830,99999,257,1982
566910,99999,257,1983
104010,99999,257,1998
037030,99999,257,1981
032570,99999,257,1985
039740,99999,257,1984
